Date,Open,High,Low,Close,Adj Close,Volume
2014-11-03,4.9975,5.015,4.9425,4.9675,4.757415,30873200
2014-11-04,5.0,5.05,4.9175,5.0325,4.819667,36019600
2014-11-05,5.0625,5.065,4.995,5.0325,4.819667,33565200
2014-11-06,5.0425,5.0625,4.965,5.055,4.841216,39408800
2014-11-07,5.1125,5.1725,4.8975,4.9475,4.738261,45080000
2014-11-10,4.9425,5.0375,4.93,5.005,4.79333,29338800
2014-11-11,4.975,5.0025,4.9025,4.945,4.735868,21299200
2014-11-12,4.9275,4.94,4.845,4.9125,4.704742,20458400
2014-11-13,4.93,4.9375,4.8475,4.8875,4.680798,22532800
2014-11-14,4.8925,4.9475,4.845,4.9475,4.738261,16024800
2014-11-17,4.925,4.9775,4.8925,4.925,4.716712,15873200
2014-11-18,4.9275,5.055,4.915,5.0425,4.829245,20777200
2014-11-19,5.025,5.04,4.95,5.0025,4.81121,24030000
2014-11-20,4.9675,5.09,4.9525,5.085,4.890556,22096800
2014-11-21,5.13,5.1375,5.07,5.1125,4.917005,19897600
2014-11-24,5.125,5.1675,5.105,5.145,4.948261,13600400
2014-11-25,5.135,5.18,5.125,5.1425,4.945857,19024000
2014-11-26,5.1125,5.235,5.11,5.23,5.030012,21926400
2014-11-28,5.2475,5.2725,5.2,5.2425,5.042033,12483200
2014-12-01,5.22,5.25,5.1375,5.145,4.948261,19006000
2014-12-02,5.14,5.175,5.0925,5.1525,4.955474,24595200
2014-12-03,5.1775,5.2875,5.1625,5.285,5.082907,28442400
2014-12-04,5.2775,5.2975,5.2025,5.2375,5.037224,18533200
2014-12-05,5.24,5.295,5.2375,5.2675,5.066077,16568000
2014-12-08,5.26,5.3125,5.1575,5.2,5.001158,22694400
2014-12-09,5.1675,5.195,5.09,5.1825,4.984327,23944800
2014-12-10,5.1675,5.1875,5.0625,5.0675,4.873725,20436400
2014-12-11,5.0975,5.1325,5.055,5.065,4.871321,13565200
2014-12-12,4.9975,5.0425,4.9025,4.9075,4.719844,32396400
2014-12-15,4.965,5.055,4.8775,4.8925,4.705417,25469600
2014-12-16,4.8875,4.965,4.835,4.8375,4.652521,18530800
2014-12-17,4.935,5.0425,4.775,5.035,4.842466,34559600
2014-12-18,5.0975,5.1575,5.0075,5.055,4.861702,22615600
2014-12-19,5.09,5.125,5.0425,5.105,4.90979,32552800
2014-12-22,5.1,5.195,5.0825,5.195,4.996349,14897600
2014-12-23,5.235,5.26,5.1575,5.1625,4.965091,10928000
2014-12-24,5.175,5.1825,5.1375,5.1425,4.945857,4564400
2014-12-26,5.1425,5.175,5.13,5.1475,4.950666,5263600
2014-12-29,5.1325,5.175,5.1075,5.14,4.943453,8294400
2014-12-30,5.105,5.13,5.085,5.0925,4.897769,11212000
2014-12-31,5.1,5.1275,4.9975,5.0125,4.820827,16630000
2015-01-02,5.0325,5.07,4.9525,5.0325,4.840064,11368000
2015-01-05,5.0325,5.0475,4.925,4.9475,4.758315,19795200
2015-01-06,4.955,4.96,4.7925,4.7975,4.614049,19776400
2015-01-07,4.8325,4.875,4.77,4.785,4.602026,32180800
2015-01-08,4.84,4.995,4.8375,4.965,4.775145,28378000
2015-01-09,4.9825,5.0225,4.915,4.985,4.794379,20954000
2015-01-12,4.9975,5.0,4.8775,4.9225,4.73427,19073200
2015-01-13,4.96,5.06,4.88,4.915,4.727055,23672000
2015-01-14,4.8625,4.95,4.85,4.935,4.746292,15526000
2015-01-15,4.97,5.0,4.8975,4.9,4.712629,18893200
2015-01-16,4.8925,4.995,4.8775,4.99,4.799188,18151200
2015-01-20,5.025,5.0525,4.9425,5.005,4.813614,14030800
2015-01-21,4.9775,5.0875,4.9425,5.075,4.880937,14478000
2015-01-22,5.085,5.1775,5.0325,5.1625,4.965091,15971200
2015-01-23,5.1675,5.1875,5.125,5.1775,4.979519,12041600
2015-01-26,5.155,5.18,5.1225,5.155,4.95788,13324000
